id,name,group,primary_type,additional_type(s)
720575940600433181,AMMC.80,AMMC,JO-B,
720575940600646173,AMMC.SAD.20,AMMC.SAD,JO-mz,
720575940602120928,AVLP.1350,AVLP,CB1783,AVLP_pr36
720575940602132509,SAD.209,SAD,JO-EVM,
720575940602309600,GNG.4231,GNG,,
720575940602313952,GNG.3022,GNG,CB1937,
720575940602337504,AVLP.1498,AVLP,AN_AVLP_41,
720575940602353632,GNG.2718,GNG,LB1a,
720575940602380768,AMMC.18,AMMC,CB1538,
720575940602382304,GNG.1544,GNG,AN_GNG_SAD_13,
720575940602415584,WED.141,WED,WED031,
720575940602430944,GNG.IPS.99,GNG.IPS,AN_IPS_WED_1,
720575940602444512,GNG.3021,GNG,AN_GNG_175,
720575940602483424,LO.AVLP.40,LO.AVLP,LC31b,LC31
720575940602506208,SAD.208,SAD,JO-EVM,
720575940602534112,GNG.3225,GNG,DNge116,
720575940602618848,IPS.242,IPS,CB1881,
720575940602703072,FLA.53,FLA,AN_FLA_GNG_2,
720575940602718432,WED.PVLP.3,WED.PVLP,WED072,
720575940602720940,SAD.532,SAD,JO-CA,
720575940602879404,SAD.AVLP.12,SAD.AVLP,CB1066,
720575940602885344,IPS.LOP.74,IPS.LOP,cLP01,
720575940602891232,AMMC.151,AMMC,CB1638,
720575940602893228,GNG.2942,GNG,AN_IPS_GNG_6,
720575940602914988,AVLP.2078,AVLP,CB2364,AVLP_pr01
720575940602964140,IPS.SPS.91,IPS.SPS,SAD007,
720575940602974688,AVLP.2286,AVLP,CB2377,
720575940603012832,LAL.352,LAL,LAL059,
720575940603029472,GNG.4699,GNG,BM_InOm,
720575940603032748,IPS.PLP.73,IPS.PLP,CB1283,
720575940603077600,LO.PVLP.1313,LO.PVLP,LC12,
720575940603123936,AVLP.1140,AVLP,CB3861,"AVLP551, AVLP552"
720575940603125216,ICL.PVLP.2,ICL.PVLP,WED013,
720575940603152998,PLP.501,PLP,WEDPN6B,WEDPN6C
720575940603167916,LH.AVLP.92,LH.AVLP,AVLP011,"AVLP012, aSP6"
720575940603183840,GNG.4698,GNG,BM_InOm,
720575940603186790,AVLP.1993,AVLP,CB3234,"WED-VLP, aIP5"
720575940603195494,SAD.IPS.13,SAD.IPS,CB3646,B1
720575940603201452,SPS.SAD.5,SPS.SAD,PS202,
720575940603225312,LO.PVLP.185,LO.PVLP,LC17,
720575940603235500,VES.115,VES,CB1122,
720575940603266592,GNG.1894,GNG,LB1b,
720575940603272038,LO.PVLP.1231,LO.PVLP,LC18,
720575940603274272,SIP.LAL.1,SIP.LAL,LAL003,LAL044
720575940603331686,WED.ICL.10,WED.ICL,CL253,AVLP_pr05
720575940603352748,SPS.ICL.29,SPS.ICL,PS097,
720575940603374624,AVLP.2818,AVLP,SA_DLV,
720575940603391404,LO.PVLP.1204,LO.PVLP,LC6,
720575940603402412,LO.PVLP.1312,LO.PVLP,LC12,
720575940603441632,IPS.65,IPS,CB0194,
720575940603452384,LO.PVLP.1519,LO.PVLP,LC16,
720575940603453542,AVLP.2726,AVLP,AN_AVLP_48,
720575940603456288,GNG.3374,GNG,AN_GNG_92,
720575940603460640,AVLP.1252,AVLP,AN_AVLP_2,
720575940603461478,GNG.3111,GNG,,
720575940603479910,GNG.3224,GNG,,
720575940603495340,LO.PLP.218,LO.PLP,LC13,
720575940603507302,PLP.IPS.24,PLP.IPS,CB2710,WEDPN8C
720575940603514141,FLA.PRW.13,FLA.PRW,CB0840,
720575940603516006,AVLP.2807,AVLP,SA_DLV,
720575940603533246,AMMC.3,AMMC,WV-WV-3,
720575940603537766,GNG.3373,GNG,AN_GNG_202,
720575940603538348,LO.PVLP.482,LO.PVLP,LC17,
720575940603545190,GNG.1434,GNG,AN_GNG_47,
720575940603548640,CRE.LAL.63,CRE.LAL,CB1750,
720575940603549152,IPS.164,IPS,LAL132a,LAL132
720575940603552736,LO.PVLP.835,LO.PVLP,LC21,
720575940603565856,PLP.ICL.74,PLP.ICL,PLP188,PLP189
720575940603569836,IPS.GNG.91,IPS.GNG,CB3070,
720575940603574374,AVLP.2788,AVLP,AN_AVLP_53,
720575940603578848,LO.PVLP.86,LO.PVLP,LC11,
720575940603580960,IPS.GNG.118,IPS.GNG,DNpe054,DNp16/17
720575940603591014,SPS.GNG.58,SPS.GNG,DNae004,DNa05
720575940603595366,AVLP.1861,AVLP,AN_AVLP_25,
720575940603596972,PLP.511,PLP,LC44,
720575940603599206,GNG.1364,GNG,AN_GNG_VES_8,
720575940603600230,GNG.4230,GNG,AN_GNG_139,
720575940603609824,AVLP.1835,AVLP,CB2049,
720575940603616800,SAD.WED.60,SAD.WED,CB2558,B1
720575940603620268,AVLP.2163,AVLP,CB2432,
720575940603622828,AVLP.1528,AVLP,CB0955,
720575940603636913,SAD.WED.10,SAD.WED,CB1075,B1-3
720575940603637438,LO.562,LO,LC4,
720575940603663276,GNG.IPS.148,GNG.IPS,CB1229,
720575940603667884,AVLP.1732,AVLP,CB3858,
720575940603672032,LO.PVLP.887,LO.PVLP,LC18,
720575940603673056,AVLP.IB.3,AVLP.IB,IB015,
720575940603676448,VES.PLP.20,VES.PLP,SAD045,SAD046
720575940603683505,AVLP.2162,AVLP,CB2253,AVLP_pr01
720575940603686624,PLP.279,PLP,CB1654,
720575940603692256,AVLP.2548,AVLP,CB2433,AVLP_pr22
720575940603695025,AVLP.1620,AVLP,CB1069,AVLP_pr22
720575940603708350,GNG.3589,GNG,AN_SAD_FLA_1,
720575940603713248,AVLP.2161,AVLP,AVLP550b,AVLP550
720575940603714272,IPS.153,IPS,CB1322,
720575940603719614,AVLP.ICL.259,AVLP.ICL,AVLP541a,AVLP541
720575940603720294,AVLP.1962,AVLP,CB1235,
720575940603722412,AVLP.2160,AVLP,AVLP051,
720575940603727840,PVLP.AVLP.65,PVLP.AVLP,CB0732,PVLP098
720575940603728561,GNG.1705,GNG,BM_Ant,
720575940603730144,WED.PLP.35,WED.PLP,CB1055,
720575940603744992,SLP.1292,SLP,SLP450,
720575940603765937,GNG.2075,GNG,SA_VTV_4,
720575940603766374,PLP.IPS.15,PLP.IPS,CB1980,
720575940603767473,AVLP.2565,AVLP,AN_AVLP_GNG_23,
720575940603786686,IPS.GNG.101,IPS.GNG,DNge117,
720575940603789228,VES.186,VES,AN_multi_54,
720575940603792352,SPS.PLP.9,SPS.PLP,IB044,
720575940603792486,GNG.3223,GNG,AN_GNG_163,
720575940603801056,GNG.1543,GNG,AN_GNG_AMMC_3,
720575940603804350,PLP.AVLP.14,PLP.AVLP,PLP018,
720575940603804704,IPS.WED.50,IPS.WED,CB2081,pIP13
720575940603814060,AVLP.2610,AVLP,AN_AVLP_GNG_23,
720575940603817900,LO.283,LO,LPLC1,
720575940603825120,PVLP.AVLP.146,PVLP.AVLP,PVLP008,
720575940603827633,PVLP.193,PVLP,PVLP008,
720575940603829950,VES.SPS.22,VES.SPS,CB2420,
720575940603856352,AVLP.729,AVLP,,
720575940603874494,IPS.580,IPS,WED161,
720575940603874784,SPS.GNG.40,SPS.GNG,DNpe055,PS167
720575940603875616,PRW.FLA.25,PRW.FLA,CB2921,
720575940603877408,PLP.SMP.85,PLP.SMP,PLP160,
720575940603882174,WED.82,WED,AN_multi_16,
720575940603885856,VES.SPS.19,VES.SPS,CB1418,
720575940603889086,WED.106,WED,CB1754,
720575940603891936,GNG.3372,GNG,CB1469,
720575940603899936,VES.SPS.11,VES.SPS,CB3587,
720575940603903264,AMMC.WED.22,AMMC.WED,CB1622,
720575940603905312,PLP.491,PLP,CB3113,
720575940603909804,LO.PVLP.346,LO.PVLP,LC21,
720575940603917158,AVLP.2758,AVLP,AVLP010,aSP6
720575940603918769,WED.61,WED,CB1029,
720575940603924512,AVLP.ICL.251,AVLP.ICL,AVLP541a,AVLP541
720575940603930046,AMMC.SAD.5,AMMC.SAD,CB1125,aSP18
720575940603942828,PVLP.AVLP.177,PVLP.AVLP,PVLP112a,"PVLP112, pIP7"
720575940603944672,PVLP.LO.99,PVLP.LO,LC9,
720575940603952608,PVLP.26,PVLP,CB0154,PVLP095
720575940603956838,GNG.SPS.56,GNG.SPS,CB1772,
720575940603957694,AVLP.1808,AVLP,CB2432,
720575940603979488,LO.PLP.136,LO.PLP,LC41,
720575940603980256,SMP.FLA.107,SMP.FLA,oviDNb,
720575940603981536,AVLP.SCL.9,AVLP.SCL,AVLP048,
720575940603989420,LO.PVLP.1280,LO.PVLP,LPLC2,
720575940604009952,IPS.25,IPS,PS061,
720575940604014508,SPS.LAL.16,SPS.LAL,PS292,
720575940604016608,LO.523,LO,LPLC1,
720575940604018208,GNG.3371,GNG,LB3,
720575940604021425,CRE.198,CRE,CB2620,
720575940604023724,GNG.2028,GNG,,
720575940604027168,GNG.2941,GNG,LB1a,
720575940604030566,GNG.1704,GNG,CB2353,
720575940604054188,SAD.AMMC.51,SAD.AMMC,JO-B,
720575940604056544,AVLP.SLP.43,AVLP.SLP,AVLP218a,AVLP218
720575940604058540,LO.PVLP.365,LO.PVLP,LC21,
720575940604074854,AVLP.383,AVLP,CB0125,
720575940604079532,IPS.847,IPS,CB2774,
720575940604088288,AVLP.6,AVLP,AVLP016,
720575940604091308,AVLP.GNG.47,AVLP.GNG,AN_GNG_AVLP_1,
720575940604099006,SPS.488,SPS,CB3865,
720575940604100785,PVLP.AVLP.179,PVLP.AVLP,CB2396,
720575940604102880,SMP.993,SMP,SMP461,
720575940604103084,SAD.66,SAD,DNp33,SAD095
720575940604104625,IPS.517,IPS,PS209,
720575940604114604,AVLP.2374,AVLP,CB3011,aIP2
720575940604122982,SAD.420,SAD,JO-EDM,
720575940604125286,LO.PLP.209,LO.PLP,LC13,
720575940604134577,AVLP.2159,AVLP,CB1207,
720575940604139180,PLP.168,PLP,PLP071,
